company_id,snapshot_date,segment,region,seasonal_period,business_age_months,employee_count,annual_revenue_inr,credit_limit_inr,current_outstanding_inr,years_with_platform,has_iata_license,has_financial_statements,kyc_complete,corporate_verification_complete,gst_registered,vat_registered,tax_filing_compliance_rate,tax_payment_delay_days,regulatory_violations_12m,aa_framework_adopted,treds_registered,ocen_integrated,upi_transaction_share,api_booking_enabled,cibil_msme_rank,has_credit_history,debt_to_equity_ratio,quick_ratio,operating_margin,cash_flow_positive,informal_credit_factor,true_debt_to_equity_ratio,credit_utilization,credit_util_trend_6m,credit_util_volatility,on_time_payment_rate,avg_late_payment_days,days_payable_outstanding,missed_payments_12m,outstanding_invoices,total_bookings_lifetime,bookings_30d,bookings_7d,avg_booking_value_inr,booking_value_variance,cancellation_rate,booking_modification_rate,no_show_rate,booking_completion_rate,chargeback_rate,dispute_count_90d,dispute_resolution_rate,disputed_charges_12m,same_day_booking_pct,next_day_booking_pct,avg_booking_window_days,max_single_booking_30d_inr,booking_seasonality_index,refund_request_rate,avg_refund_processing_days,refund_to_booking_ratio,disputed_refund_count_90d,avg_customer_rating,repeat_customer_rate,customer_complaint_count_90d,supplier_dispute_count_12m,contract_breach_incidents_12m,communication_responsiveness_score,revenue_concentration_top3_pct,geographic_concentration_index,booking_source_diversity,days_since_first_booking,days_since_last_booking,booking_velocity_trend,velocity_spike_count_30d,total_users,active_users_30d,new_users_30d,new_users_7d,role_escalations_30d,bookings_to_revenue_ratio,credit_exhaustion_rate_days,chargeback_to_booking_ratio,user_to_employee_ratio,new_user_velocity,refund_to_revenue_ratio,dispute_to_booking_ratio,default_flag,fraud_flag,risk_score
IN-TRV-000522,2026-02-15,micro,metro,peak,9,1,10872247,244213,2268631.722745455,0.470722301,0,0,0,0,0,0,0.287691683,80.47900456,5,0,0,0,0.266821101,0,7,0,6.530809664,0.385613304,0.005340822,0,2.800463926,18.28929687,0.964011116,0.533244316,0.530546461,0.308552541,85.06674113,175.8889304,9,9,752,106,39,13932.02111,1.346532773,0.370927652,0.418933289,0.076180157,0.552892191,0.057559433,2,0.15,7,0.442745555,0.828761185,1.332824171,53683.71361,1.467784704,0.257960484,40.66322035,0.157734913,1,2.106818352,0.127335154,1,14,4,0.227335154,0.787134012,0.467540114,0.058493562,236,2,0.488599891,5,1,0,0,0,2,0.963169262,15.99732947,0.408148703,1.0,0.0,0.420470108,0.060606061,1,1,90.90174665
IN-TRV-000738,2026-02-15,small_medium,metro,peak,57,13,448288674,3000104,25500884.0,4.216295708,1,1,1,0,1,0,0.753255618,13.78618147,3,0,1,0,0.4322424,1,5,1,0.83597365,0.947940188,0.036988855,1,1.700670324,1.421715578,1.0,0.085353819,0.306146697,0.830337636,16.36920604,68.54781692,3,7,884,119,34,32413.31791,0.573725514,0.187679289,0.127998004,0.039505197,0.772815514,0.013389969,0,0.799150469,0,0.115186241,0.187673424,13.77179449,167818.1538,1.750382296,0.198570654,9.721819267,0.17565362,0,3.138136102,0.479492735,0,4,1,0.579492735,0.412770267,0.284701297,0.517287874,1511,6,-0.007501412,0,8,6,0,0,1,0.063917236,2.560614573,0.099468339,0.615384615,0.0,0.020502603,0.0,0,0,49.47144296
IN-TRV-000741,2026-02-15,small_medium,metro,peak,67,17,164440394,3391052,25771995.2,4.802617684,0,1,1,0,1,0,0.824285547,26.04197309,2,1,0,0,0.477527671,0,3,1,1.455363253,1.376575538,0.079910187,0,1.410948128,2.053442057,1.0,0.09677039,0.215165366,0.741528047,17.80553559,71.06356491,1,5,714,114,23,20133.72368,0.579532159,0.161821856,0.173941951,0.055034305,0.783143839,0.015742492,0,0.763862627,0,0.196543441,0.358418449,11.38074556,145422.9171,1.506112008,0.164788714,11.23107225,0.144108075,0,3.037051903,0.389722054,2,10,1,0.489722054,0.546323579,0.454156144,0.594918215,1838,4,0.09372285,5,8,5,0,0,3,0.08746958,2.903111706,0.098652947,0.470588235,0.0,0.027601276,0.0,1,0,60.03269954
IN-TRV-000661,2026-02-15,small_medium,tier3,peak,114,18,729158006,5210869,22677782.348571427,8.982775887,1,1,1,1,1,0,0.941219825,5.057376655,1,0,1,0,0.438171618,1,4,1,0.582940599,1.387669768,0.141457339,1,1.135719106,0.662056775,0.553892874,0.008623446,0.108932925,0.936234203,7.394612465,50.39367647,0,4,723,110,24,31581.17528,0.301996295,0.096665519,0.089851239,0.027386948,0.875947533,0.003578855,0,0.946317172,0,0.044788312,0.072035495,11.94675599,233881.2521,1.447564322,0.069293961,7.986487554,0.04276513,0,4.266190761,0.78721312,0,0,0,0.88721312,0.17619837,0.844012984,0.771149703,3065,3,-0.540251526,1,6,5,0,0,0,0.031308273,0.258703372,0.023518191,0.333333333,0.0,0.003961649,0.0,0,0,13.26904475
IN-TRV-000412,2026-02-15,micro,tier2,peak,4,1,14416654,208701,1745905.6909833332,0.313500262,0,0,0,0,0,0,0.110143084,150.3577289,6,0,0,0,0.190828691,0,9,0,3.533371127,0.417518205,0.008802921,0,2.203906884,7.787220952,0.938196307,0.524146404,0.748474493,0.359598332,88.25098969,215.8862566,7,7,687,107,27,14723.38678,0.978958216,0.349855573,0.305418394,0.052491971,0.597652456,0.051711293,2,0.224330603,6,0.358431622,0.500230731,5.597728826,55386.53095,1.597801586,0.328654732,37.59841506,0.220831734,1,1.646397834,0.073969264,2,9,4,0.173969264,0.827387588,0.793228511,0.05,113,1,0.435675609,4,1,0,0,0,1,0.701191277,15.72439213,0.331814131,1.0,0.0,0.430971113,0.055555556,1,0,100.0
IN-TRV-000679,2026-02-15,small_medium,tier2,peak,133,17,419750236,10564549,53562205.2631579,10.29377894,1,1,1,1,1,0,0.967326146,3.23726527,0,0,0,0,0.489044719,1,1,1,0.728947696,1.782917919,0.139841395,1,1.170181889,0.853001392,0.802749128,0.042908103,0.077378326,0.975860585,5.29999409,61.78291251,0,2,632,120,32,43443.58562,0.283674168,0.127541906,0.112373679,0.031828123,0.840629971,0.007899861,0,0.881502087,0,0.099583591,0.126206123,11.44268451,332672.7298,1.62638673,0.08874494,6.633086226,0.066802462,0,4.569582464,0.847584055,0,0,0,0.947584055,0.1,0.674422909,0.882631267,3679,4,-0.541611063,0,5,3,0,0,0,0.065367573,1.287243102,0.041578215,0.294117647,0.0,0.013226374,0.0,0,0,6.16658172
IN-TRV-000627,2026-02-15,small_medium,metro,peak,66,24,487189714,7213691,31935927.894249998,4.090789155,1,1,1,0,1,0,0.987173595,3.184034409,0,0,1,0,0.490364703,1,2,1,0.870124724,1.365894848,0.129126933,1,1.061052409,0.923247935,0.66824562,0.081073452,0.104579918,0.906745665,4.064388401,60.79283803,0,5,841,106,20,43826.98236,0.237121109,0.087767646,0.104622767,0.027361495,0.884870859,0.0060072,0,0.909891994,0,0.056748421,0.111518658,16.79539272,138692.6857,1.501560722,0.101390633,3.750065675,0.06989261,0,4.380801087,0.681645049,0,1,2,0.781645049,0.275842515,0.491130635,0.727488935,1840,5,-0.242842614,2,16,10,0,0,0,0.075689051,2.432203573,0.047682153,0.666666667,0.0,0.011601881,0.0,0,0,25.68881775
IN-TRV-000514,2026-02-15,micro,metro,peak,3,2,23235065,198917,2465822.226933333,0.209308563,0,0,0,0,0,0,0.416210428,88.95806806,5,0,0,0,0.151275565,0,9,1,4.922923658,0.357517567,-0.059422842,0,2.126732382,10.46974116,0.945475685,0.659275968,0.621703568,0.335923241,78.31631661,152.1396092,6,14,1141,118,52,11770.47925,0.854919909,0.433418632,0.346625297,0.075930203,0.490651165,0.076235332,2,0.15,6,0.258990991,0.378897018,4.698508576,48143.84696,1.641207064,0.325832914,40.04125836,0.246138542,0,2.134180788,0.174257988,0,14,7,0.274257988,0.738823978,0.490317252,0.293052218,86,4,0.430925464,5,1,0,0,0,5,0.577841858,19.77827905,0.736941539,0.5,0.0,0.233726768,0.074074074,1,1,85.38141315
IN-TRV-000860,2026-02-15,small_medium,tier3,peak,12,10,201957837,1868484,16914323.964999996,0.603654237,0,1,1,1,1,0,0.597055283,71.4883455,7,1,0,0,0.375478368,0,9,1,3.814249391,0.754840751,-0.041151186,0,1.780001375,6.789369162,0.987538014,0.48423185,0.596043369,0.455535746,58.81092248,97.44986361,6,8,843,110,37,15729.03164,0.799880206,0.341341397,0.265411743,0.079713032,0.578945571,0.03783441,1,0.432483855,3,0.247513895,0.460935005,5.202328643,99321.38486,1.419353064,0.343135035,27.96150984,0.253530136,0,1.798049602,0.151076029,0,20,9,0.251076029,0.772857083,0.861164565,0.202739745,315,2,0.529591696,5,7,5,0,0,4,0.065681119,14.52695551,0.290063808,0.7,0.0,0.035276076,0.027777778,1,1,100.0
IN-TRV-000137,2026-02-15,micro,tier3,peak,87,3,48846453,407627,1971418.1043333332,5.195303997,0,0,1,0,1,0,0.975006644,5.220404448,0,0,0,0,0.518660593,1,1,1,1.555870139,1.125401345,0.078393118,1,1.614182185,2.511457861,0.65949935,0.045211754,0.197171483,0.891156471,6.457644813,74.06456874,1,2,660,110,29,10730.25349,0.335171356,0.152397927,0.134448948,0.052005669,0.795596403,0.00910993,0,0.863351056,0,0.05666823,0.101833006,18.61536152,41611.93053,1.57452057,0.119366487,9.695786765,0.074701261,0,4.102614509,0.70278216,0,4,1,0.80278216,0.312221926,0.93630701,0.672167057,2401,6,-0.370547735,1,1,0,0,0,0,0.144984268,1.356352617,0.054659578,0.333333333,0.0,0.034612525,0.0,0,0,23.20209882
